,AreaCode,TimeZone,accuracy,city,error,formatted_address,input_string,latitude,longitude,postcode,prov,staddress,status,stnumber
70,"780,587",America/Edmonton,,Lesser Slave River,,LSD-09 SEC-06 TWP-070 RGE-03 MER-5,05-03-070-06W6,55.174790,-114.312131,T0G0N0,AB,2 HWY,,0
71,587,America/Edmonton,1,Cypress,,LSD-09 SEC-13 TWP-013 RGE-09 MER-4,04-09-013-13W4,50.106244,-111.096631,T1B2N0,AB,524 HWY,1,9001
72,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-03-050-26W4,93895901684536.000000,-0.000000,,,,,
73,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-20-065-10W5,93895816813488.000000,-0.000000,,,,,
74,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-35-032-02W5,93895876584080.000000,-0.000000,,,,,
75,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-31-073-10W6,93895813438736.000000,-0.000000,,,,,
76,,,1,Mountain View County,,LSD-09 SEC-04 TWP-032 RGE-05 MER-5,05-05-032-04W5,51.708106,-114.638252,T0M1X0,AB,Range Road 53A,1,31531
77,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-35-048-08W5,93895799545152.000000,-0.000000,,,,,
78,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-03-052-04W4,93895876537496.000000,-0.000000,,,,,
79,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-20-054-24W4,93895823784624.000000,-0.000000,,,,,
80,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-32-067-09W5,93895774129824.000000,-0.000000,,,,,
81,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-05-092-09W4,93895808564392.000000,-0.000000,,,,,
82,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-06-073-03W6,93895775760512.000000,-0.000000,,,,,
83,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-12-014-03W4,93895806413600.000000,-0.000000,,,,,
84,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-36-029-21W4,93895840526000.000000,-0.000000,,,,,
85,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-07-047-08W5,93895848273280.000000,-0.000000,,,,,
86,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-23-070-06W6,93895935470632.000000,-0.000000,,,,,
87,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-27-095-07W4,93895778011712.000000,-0.000000,,,,,
88,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-07-054-16W5,93895913656224.000000,-0.000000,,,,,
89,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,02-09-001-17W4,93895775229112.000000,-0.000000,,,,,
90,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-25-050-26W4,93895800249304.000000,-0.000000,,,,,
91,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-05-052-04W4,93895967362056.000000,-0.000000,,,,,
92,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-14-058-18W5,93895782313136.000000,-0.000000,,,,,
93,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-36-086-11W5,93895774935920.000000,-0.000000,,,,,
94,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,15-30-086-12W5,93895793084632.000000,-0.000000,,,,,
95,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-05-046-18W5,93895980332808.000000,-0.000000,,,,,
96,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-27-012-13W4,93895787531200.000000,-0.000000,,,,,
97,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-35-039-24W4,93895812818128.000000,-0.000000,,,,,
98,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-27-052-26W4,93895808370880.000000,-0.000000,,,,,
99,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-14-110-06W6,93895784099984.000000,-0.000000,,,,,
100,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-31-012-25W4,93895897200464.000000,-0.000000,,,,,
101,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-20-015-11W4,93895993906696.000000,-0.000000,,,,,
102,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-31-049-10W5,93895775010544.000000,-0.000000,,,,,
103,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-03-050-10W5,93895878208704.000000,-0.000000,,,,,
104,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-12-054-14W5,93895804519192.000000,-0.000000,,,,,
105,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-28-087-07W6,93895800270544.000000,-0.000000,,,,,
106,"780,587",America/Edmonton,1,Clearwater County,,LSD-09 SEC-07 TWP-038 RGE-16 MER-5,05-16-038-07W5,52.308814,-116.323098,T0M2H0,AB,Range Road 171A,1,39001
107,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-15-044-04W4,93895950797376.000000,-0.000000,,,,,
108,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-13-048-08W5,93895778360544.000000,-0.000000,,,,,
109,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-11-054-18W5,93895814787152.000000,-0.000000,,,,,
110,780,America/Edmonton,1,Lamont,,LSD-09 SEC-24 TWP-057 RGE-16 MER-4,04-16-057-24W4,53.947604,-112.232922,T8L2R0,AB,Township Road 574 N/A,1,16001
111,587,America/Edmonton,1,Camrose County,,LSD-09 SEC-21 TWP-048 RGE-18 MER-4,04-18-048-21W4,53.163294,-112.562526,T0B2M2,AB,Township Road 484,1,18337
112,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-21-048-07W5,93895775732400.000000,-0.000000,,,,,
113,780,America/Edmonton,1,Parkland County,,LSD-09 SEC-20 TWP-053 RGE-26 MER-4,04-26-053-20W5,53.584724,-113.787250,T8T0L9,AB,Range Road 264,1,53231
114,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,05-32-067-14W4,93895786078120.000000,-0.000000,,,,,
115,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-30-069-07W6,93895856539808.000000,-0.000000,,,,,
116,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-05-016-11W4,93895774063280.000000,-0.000000,,,,,
117,"780,587",America/Edmonton,,Yellowhead County,,LSD-09 SEC-01 TWP-043 RGE-22 MER-5,05-22-043-01W4,52.921033,-117.272606,T0E1X0,AB,Range Road 233A,,45505
118,,,,Fraser-Fort George H,,LSD-09 SEC-16 TWP-051 RGE-10 MER-6,06-10-051-16W5,53.245575,-119.619597,V0J1J0,BC,Horsey Creek RD,,8599
119,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,12-03-065-13W5,93895940533304.000000,-0.000000,,,,,
120,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,04-35-069-23W5,93895796539272.000000,-0.000000,,,,,
121,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-14-013-02W4,93895782198336.000000,-0.000000,,,,,
122,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,03-17-081-19W5,93895790544544.000000,-0.000000,,,,,
123,"403,587",America/Edmonton,1,Taber,,LSD-09 SEC-06 TWP-009 RGE-14 MER-4,06-09-014-04W4,49.698626,-111.878669,T0K0Z0,AB,Range Road 145,1,91073
124,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-055-05W4,93895883051320.000000,-0.000000,,,,,
125,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-055-05W4,93895883051320.000000,-0.000000,,,,,
126,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-055-05W4,93895883051320.000000,-0.000000,,,,,
127,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-055-05W4,93895883051320.000000,-0.000000,,,,,
128,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-22-055-05W4,93895883051320.000000,-0.000000,,,,,
129,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-22-013-21W4,93895848456672.000000,-0.000000,,,,,
130,587,America/Edmonton,1,Kneehill County,,LSD-09 SEC-16 TWP-032 RGE-22 MER-4,16-32-022-04W4,51.747132,-113.052204,T0M2J0,AB,836 HWY,1,32251
131,,,1,Clearwater,,LSD-09 SEC-03 TWP-041 RGE-09 MER-5,05-09-041-03W5,52.491676,-115.179155,T4T2A4,AB,Township Road 410 N/A,1,9105
132,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-33-052-02W4,93895804674200.000000,-0.000000,,,,,
133,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-31-057-16W5,93895815799976.000000,-0.000000,,,,,
134,,,1,Smoky Lake County,,LSD-09 SEC-05 TWP-058 RGE-13 MER-4,04-13-058-05W4,53.976865,-111.886100,T0B1T0,AB,Range Road 134,1,0
135,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-08-061-04W4,93895927310152.000000,-0.000000,,,,,
136,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-19-082-11W6,93895913803464.000000,-0.000000,,,,,
137,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-13-055-22W4,93895815299856.000000,-0.000000,,,,,
138,780,America/Edmonton,,Bighorn,,LSD-09 SEC-16 TWP-029 RGE-11 MER-5,16-29-011-05W4,51.611313,-115.391700,T8G1G6,AB,Panther RD,,1
139,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-04-026-12W4,93895798209752.000000,-0.000000,,,,,
140,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-21-037-03W4,93895887540824.000000,-0.000000,,,,,
141,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-24-044-05W4,93895813020240.000000,-0.000000,,,,,
142,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,02-19-045-08W4,93895778127280.000000,-0.000000,,,,,
143,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-07-048-15W5,93895791845528.000000,-0.000000,,,,,
144,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-21-080-09W5,93895794735800.000000,-0.000000,,,,,
145,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-30-081-15W5,93895816264560.000000,-0.000000,,,,,
146,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-08-026-02W5,93895919702224.000000,-0.000000,,,,,
147,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,04-30-057-04W4,93895803102576.000000,-0.000000,,,,,
148,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-08-036-20W4,93895824166000.000000,-0.000000,,,,,
149,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-12-048-08W5,93895783905280.000000,-0.000000,,,,,
150,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,02-31-052-25W4,93895985014248.000000,-0.000000,,,,,
151,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-35-052-13W5,93895781038256.000000,-0.000000,,,,,
152,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-19-071-18W5,93895904502400.000000,-0.000000,,,,,
153,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,NW-27-083-23W5,93895786473536.000000,-0.000000,,,,,
154,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-08-112-07W4,93895787740336.000000,-0.000000,,,,,
155,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-07-043-10W4,93895782801552.000000,-0.000000,,,,,
156,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-09-014-16W4,93895951604264.000000,-0.000000,,,,,
157,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-17-021-06W4,93895772656816.000000,-0.000000,,,,,
158,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-20-065-10W5,93895844774544.000000,-0.000000,,,,,
159,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-34-068-22W5,93895900573360.000000,-0.000000,,,,,
160,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-10-073-06W6,93895808259200.000000,-0.000000,,,,,
161,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,02-07-093-12W4,93895883646928.000000,-0.000000,,,,,
162,587,America/Edmonton,1,Beaver,,LSD-09 SEC-02 TWP-047 RGE-11 MER-4,04-11-047-02W5,53.030211,-111.493265,T9W4W1,AB,Township Road 471 N/A,1,11101
163,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-11-008-20W4,93895775191312.000000,-0.000000,,,,,
164,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-15-027-20W4,93895796442312.000000,-0.000000,,,,,
165,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-13-035-07W4,93895970803992.000000,-0.000000,,,,,
166,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-22-077-11W6,93895788673136.000000,-0.000000,,,,,
167,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-30-028-03W5,93895773097016.000000,-0.000000,,,,,
168,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,13-26-036-06W5,93895962438096.000000,-0.000000,,,,,
169,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,08-15-041-14W4,93895808624808.000000,-0.000000,,,,,
170,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-34-049-01W4,93895772029416.000000,-0.000000,,,,,
171,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-06-063-21W5,93895965398800.000000,-0.000000,,,,,
172,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,15-16-073-05W5,93895792301936.000000,-0.000000,,,,,
173,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-12-075-08W6,93895799829896.000000,-0.000000,,,,,
174,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,16-01-109-06W6,93895805868952.000000,-0.000000,,,,,
175,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-23-012-08W4,93895968907096.000000,-0.000000,,,,,
176,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,11-21-036-04W4,93895772473352.000000,-0.000000,,,,,
177,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-28-047-06W4,93895924314480.000000,-0.000000,,,,,
178,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,01-12-076-21W5,93895769998496.000000,-0.000000,,,,,
179,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-36-086-15W5,93895773533904.000000,-0.000000,,,,,
180,587,America/Edmonton,1,Wainwright,,LSD-09 SEC-15 TWP-043 RGE-04 MER-4,04-04-043-15W4,52.697898,-110.487952,T0B1K0,AB,Township Road 432 N/A,1,4201
181,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,10-16-038-01W4,93895858737176.000000,-0.000000,,,,,
182,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,06-24-054-23W4,93895817058528.000000,-0.000000,,,,,
183,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,14-08-077-11W6,93895858829152.000000,-0.000000,,,,,
184,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,05-11-013-15W4,93895892406304.000000,-0.000000,,,,,
185,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,07-20-014-01W4,93895832154408.000000,-0.000000,,,,,
186,,,,,"{'description': 'Postal Code is not in the proper Format. 1', 'code': '005'}",,09-34-014-18W4,93895875915552.000000,-0.000000,,,,,
187,,,1,Vulcan County,,LSD-09 SEC-16 TWP-018 RGE-19 MER-4,16-18-019-04W4,50.518176,-112.552188,T0L1G0,AB,Township Road 182,1,194001
